module,class_name,node_id,iso_class,iso_node_id
nodes_bfl,FluxProUltraImageNode,FluxProUltraImageNode,FluxProUltraImageNode_ISO,FluxProUltraImageNode_ISO
nodes_bfl,FluxKontextProImageNode,FluxKontextProImageNode,FluxKontextProImageNode_ISO,FluxKontextProImageNode_ISO
nodes_bfl,FluxProExpandNode,FluxProExpandNode,FluxProExpandNode_ISO,FluxProExpandNode_ISO
nodes_bfl,FluxProFillNode,FluxProFillNode,FluxProFillNode_ISO,FluxProFillNode_ISO
nodes_bfl,Flux2ProImageNode,Flux2ProImageNode,Flux2ProImageNode_ISO,Flux2ProImageNode_ISO
nodes_bytedance,ByteDanceImageNode,ByteDanceImageNode,ByteDanceImageNode_ISO,ByteDanceImageNode_ISO
nodes_bytedance,ByteDanceImageEditNode,ByteDanceImageEditNode,ByteDanceImageEditNode_ISO,ByteDanceImageEditNode_ISO
nodes_bytedance,ByteDanceSeedreamNode,ByteDanceSeedreamNode,ByteDanceSeedreamNode_ISO,ByteDanceSeedreamNode_ISO
nodes_bytedance,ByteDanceTextToVideoNode,ByteDanceTextToVideoNode,ByteDanceTextToVideoNode_ISO,ByteDanceTextToVideoNode_ISO
nodes_bytedance,ByteDanceImageToVideoNode,ByteDanceImageToVideoNode,ByteDanceImageToVideoNode_ISO,ByteDanceImageToVideoNode_ISO
nodes_bytedance,ByteDanceFirstLastFrameNode,ByteDanceFirstLastFrameNode,ByteDanceFirstLastFrameNode_ISO,ByteDanceFirstLastFrameNode_ISO
nodes_bytedance,ByteDanceImageReferenceNode,ByteDanceImageReferenceNode,ByteDanceImageReferenceNode_ISO,ByteDanceImageReferenceNode_ISO
nodes_gemini,GeminiNode,GeminiNode,GeminiNode_ISO,GeminiNode_ISO
nodes_gemini,GeminiInputFiles,GeminiInputFiles,GeminiInputFiles_ISO,GeminiInputFiles_ISO
nodes_gemini,GeminiImage,GeminiImageNode,GeminiImage_ISO,GeminiImageNode_ISO
nodes_gemini,GeminiImage2,GeminiImage2Node,GeminiImage2_ISO,GeminiImage2Node_ISO
nodes_ideogram,IdeogramV1,IdeogramV1,IdeogramV1_ISO,IdeogramV1_ISO
nodes_ideogram,IdeogramV2,IdeogramV2,IdeogramV2_ISO,IdeogramV2_ISO
nodes_ideogram,IdeogramV3,IdeogramV3,IdeogramV3_ISO,IdeogramV3_ISO
nodes_kling,KlingCameraControls,KlingCameraControls,KlingCameraControls_ISO,KlingCameraControls_ISO
nodes_kling,KlingTextToVideoNode,KlingTextToVideoNode,KlingTextToVideoNode_ISO,KlingTextToVideoNode_ISO
nodes_kling,OmniProTextToVideoNode,KlingOmniProTextToVideoNode,OmniProTextToVideoNode_ISO,KlingOmniProTextToVideoNode_ISO
nodes_kling,OmniProFirstLastFrameNode,KlingOmniProFirstLastFrameNode,OmniProFirstLastFrameNode_ISO,KlingOmniProFirstLastFrameNode_ISO
nodes_kling,OmniProImageToVideoNode,KlingOmniProImageToVideoNode,OmniProImageToVideoNode_ISO,KlingOmniProImageToVideoNode_ISO
nodes_kling,OmniProVideoToVideoNode,KlingOmniProVideoToVideoNode,OmniProVideoToVideoNode_ISO,KlingOmniProVideoToVideoNode_ISO
nodes_kling,OmniProEditVideoNode,KlingOmniProEditVideoNode,OmniProEditVideoNode_ISO,KlingOmniProEditVideoNode_ISO
nodes_kling,OmniProImageNode,KlingOmniProImageNode,OmniProImageNode_ISO,KlingOmniProImageNode_ISO
nodes_kling,KlingCameraControlT2VNode,KlingCameraControlT2VNode,KlingCameraControlT2VNode_ISO,KlingCameraControlT2VNode_ISO
nodes_kling,KlingImage2VideoNode,KlingImage2VideoNode,KlingImage2VideoNode_ISO,KlingImage2VideoNode_ISO
nodes_kling,KlingCameraControlI2VNode,KlingCameraControlI2VNode,KlingCameraControlI2VNode_ISO,KlingCameraControlI2VNode_ISO
nodes_kling,KlingStartEndFrameNode,KlingStartEndFrameNode,KlingStartEndFrameNode_ISO,KlingStartEndFrameNode_ISO
nodes_kling,KlingVideoExtendNode,KlingVideoExtendNode,KlingVideoExtendNode_ISO,KlingVideoExtendNode_ISO
nodes_kling,KlingDualCharacterVideoEffectNode,KlingDualCharacterVideoEffectNode,KlingDualCharacterVideoEffectNode_ISO,KlingDualCharacterVideoEffectNode_ISO
nodes_kling,KlingSingleImageVideoEffectNode,KlingSingleImageVideoEffectNode,KlingSingleImageVideoEffectNode_ISO,KlingSingleImageVideoEffectNode_ISO
nodes_kling,KlingLipSyncAudioToVideoNode,KlingLipSyncAudioToVideoNode,KlingLipSyncAudioToVideoNode_ISO,KlingLipSyncAudioToVideoNode_ISO
nodes_kling,KlingLipSyncTextToVideoNode,KlingLipSyncTextToVideoNode,KlingLipSyncTextToVideoNode_ISO,KlingLipSyncTextToVideoNode_ISO
nodes_kling,KlingVirtualTryOnNode,KlingVirtualTryOnNode,KlingVirtualTryOnNode_ISO,KlingVirtualTryOnNode_ISO
nodes_kling,KlingImageGenerationNode,KlingImageGenerationNode,KlingImageGenerationNode_ISO,KlingImageGenerationNode_ISO
